id_cliente;edad;ciudad;tipo_cliente;dias_registrado;compras_totales;compras_ultimos_90_dias;gasto_total_90_dias;promedio_compra;dias_desde_ultima_compra;frecuencia_compra_dias;regularidad_compra;porcentaje_descuentos_usados;usa_domicilio;reclamos;calificacion_promedio;abandono
1;56;Manta;Minorista;1489;214;0;0.0;17.01;83;7;1.39;0.65;0;2;3.3;1
2;29;Quito;Minorista;1367;123;6;127.69;22.17;49;10;2.2;0.62;1;0;4.4;0
3;20;Guayaquil;Minorista;676;79;2;55.22;26.45;53;9;1.57;0.83;0;1;3.5;1
4;23;Guayaquil;Minorista;595;30;2;60.25;30.74;63;16;3.34;0.73;0;0;4.4;1
5;40;Manta;Mayorista;1305;215;2;309.36;130.41;80;6;4.47;0.61;0;0;4.7;1
6;52;Quito;Mayorista;448;40;7;1111.1;162.0;7;10;2.21;0.67;0;1;3.7;0
7;44;Ambato;Minorista;990;75;7;201.21;28.82;3;13;4.35;0.52;0;0;3.9;0
8;49;Quito;Minorista;772;90;6;175.47;32.5;4;10;4.27;0.23;1;0;4.3;0
9;68;Guayaquil;Minorista;1139;92;3;77.93;29.7;62;13;2.89;0.89;0;0;4.4;0
10;50;Loja;Mayorista;1438;477;1;131.08;163.29;77;3;0.69;0.22;0;0;4.6;1
11;41;Quito;Mayorista;1427;171;5;790.35;175.49;52;8;2.41;0.5;0;0;4.5;0
12;40;Guayaquil;Mayorista;1278;166;6;850.8;118.73;53;8;3.42;0.76;0;0;4.0;0
13;55;Ambato;Minorista;309;23;0;0.0;30.55;86;13;2.59;0.19;0;1;4.3;1
14;36;Ambato;Mayorista;1201;395;19;2061.0;107.71;33;3;3.08;0.74;1;2;3.9;0
15;33;Cuenca;Minorista;375;33;9;107.43;13.1;2;12;2.68;0.7;1;2;3.2;0
16;25;Guayaquil;Minorista;1473;123;1;20.78;25.91;89;12;2.71;0.69;1;1;3.5;0
17;21;Cuenca;Minorista;830;138;14;273.7;23.34;8;6;3.63;0.37;0;0;4.6;0
18;68;Guayaquil;Minorista;467;38;7;155.64;21.57;21;12;0.81;0.72;0;0;4.5;0
19;66;Cuenca;Minorista;46;5;3;29.58;8.42;46;11;3.36;0.43;0;0;4.1;0
20;50;Quito;Minorista;1309;133;3;82.63;26.79;54;9;2.78;0.99;1;0;4.2;0
21;59;Quito;Minorista;1439;93;3;53.69;15.93;9;15;4.16;0.81;0;0;4.0;0
22;25;Cuenca;Mayorista;541;64;0;0.0;63.31;87;8;4.77;0.33;1;0;4.2;1
23;39;Cuenca;Minorista;343;37;3;34.6;11.43;42;10;3.81;0.77;1;1;3.8;0
24;47;Manta;Minorista;76;2;6;207.43;34.35;16;13;3.76;0.27;1;1;3.7;0
25;43;Loja;Minorista;146;9;4;44.01;12.22;12;11;2.1;0.55;1;0;4.6;0
26;56;Ambato;Minorista;733;62;3;41.53;14.69;67;14;2.22;0.1;1;1;4.7;0
27;47;Loja;Minorista;386;14;0;0.0;8.41;69;18;3.13;0.5;1;0;4.4;1
28;49;Manta;Mayorista;881;116;10;1170.89;114.99;33;7;2.32;0.96;1;0;4.7;0
29;46;Cuenca;Mayorista;426;100;16;1823.46;106.25;35;4;0.95;0.34;0;0;4.6;0
30;62;Guayaquil;Minorista;1128;127;8;278.24;34.12;21;9;4.51;0.58;0;0;3.8;0
31;35;Quito;Minorista;1038;121;0;0.0;26.36;62;9;2.94;0.24;1;1;3.8;1
32;36;Cuenca;Minorista;206;11;6;238.3;33.65;28;15;4.79;0.45;0;0;4.9;0
33;69;Guayaquil;Minorista;920;93;2;44.61;22.84;53;10;2.49;0.89;0;2;3.5;1
34;55;Ambato;Minorista;1227;100;3;82.64;32.08;50;12;0.6;0.58;0;0;4.5;0
35;69;Ambato;Minorista;540;49;3;88.98;28.98;36;12;2.24;0.42;1;0;3.9;0
36;67;Guayaquil;Minorista;1273;135;2;23.68;11.17;72;10;3.12;0.96;0;0;5.0;0
37;42;Cuenca;Minorista;853;290;11;112.29;9.99;58;3;2.52;0.97;1;0;4.2;0
38;18;Manta;Minorista;1426;173;3;25.26;9.23;87;8;5.13;0.28;1;0;4.2;0
39;25;Manta;Minorista;727;86;5;40.45;8.87;41;8;0.51;0.41;0;1;3.5;0
40;47;Loja;Minorista;1295;61;3;86.3;29.0;33;19;1.76;0.83;0;1;4.6;0
41;52;Loja;Minorista;540;48;8;263.33;28.25;6;11;4.79;0.59;0;2;3.1;1
42;68;Guayaquil;Minorista;714;58;6;50.45;9.27;32;11;2.5;0.48;0;0;4.3;0
43;29;Ambato;Minorista;1107;91;6;170.07;25.26;47;13;2.03;0.9;1;0;4.9;0
44;47;Manta;Mayorista;1388;467;12;1478.71;125.69;52;3;2.18;0.52;0;1;4.2;0
45;34;Guayaquil;Minorista;1383;112;4;48.11;14.48;66;12;0.77;0.13;0;0;5.0;0
46;21;Quito;Minorista;389;44;6;156.35;21.91;67;8;0.86;0.82;1;0;4.7;0
47;39;Quito;Minorista;1458;92;3;69.71;21.59;12;18;1.06;0.04;0;0;4.5;0
48;60;Ambato;Minorista;860;46;2;35.78;18.0;47;19;0.68;0.46;0;0;5.0;1
49;68;Quito;Minorista;1060;73;7;92.43;14.55;18;15;0.45;0.38;1;0;3.9;0
50;30;Loja;Minorista;1265;94;5;52.5;10.35;18;12;4.33;0.43;0;0;4.7;0
51;54;Guayaquil;Minorista;721;57;0;0.0;33.21;56;15;2.47;0.23;1;0;4.3;1
52;47;Ambato;Minorista;852;89;1;27.15;30.06;79;10;3.1;0.93;0;0;4.1;0
53;43;Guayaquil;Minorista;1488;151;4;77.88;21.71;26;10;0.33;0.11;1;1;4.3;0
54;30;Guayaquil;Minorista;288;23;5;116.29;22.81;10;12;3.25;0.09;0;1;3.6;0
55;28;Manta;Mayorista;940;309;14;1790.63;109.02;49;3;3.27;0.99;1;0;4.5;0
56;39;Loja;Minorista;1402;129;6;200.61;29.59;14;11;1.81;0.63;1;0;4.2;0
57;62;Manta;Mayorista;1095;97;5;685.19;134.89;39;11;2.85;0.44;0;0;4.4;0
58;31;Ambato;Mayorista;850;86;5;521.54;111.78;51;10;3.6;0.17;0;0;4.9;0
59;69;Ambato;Minorista;507;43;5;124.39;29.02;38;12;3.71;0.2;1;1;4.4;0
60;48;Guayaquil;Minorista;844;100;8;162.9;21.13;5;9;4.1;0.72;0;0;5.0;0
61;28;Loja;Minorista;1307;113;0;0.0;24.6;72;12;1.77;0.14;1;0;4.5;1
62;21;Quito;Minorista;1186;85;5;118.21;24.38;31;14;2.72;0.93;0;0;4.5;0
63;54;Quito;Minorista;1458;143;5;77.15;18.77;87;10;3.13;0.34;1;1;3.9;0
64;43;Manta;Minorista;104;12;8;271.52;32.8;34;8;3.07;0.17;0;1;3.4;0
65;60;Manta;Minorista;691;73;4;49.41;10.3;49;9;1.17;0.5;0;0;4.0;0
66;36;Loja;Minorista;1371;339;10;206.49;18.2;45;4;0.52;0.71;1;0;4.8;0
67;45;Ambato;Minorista;1166;62;1;11.06;10.04;63;16;1.64;0.27;0;0;4.4;1
68;45;Loja;Minorista;1231;110;5;62.44;13.99;57;11;2.62;0.18;0;0;4.4;0
69;25;Loja;Minorista;1471;94;7;86.9;13.53;16;16;1.29;0.9;0;0;4.8;0
70;65;Loja;Minorista;1434;111;2;72.36;32.1;82;13;1.01;0.38;0;0;4.2;1
71;37;Manta;Minorista;290;14;1;37.15;33.61;9;16;1.85;0.14;1;0;4.5;0
72;49;Manta;Mayorista;750;105;4;526.68;125.0;9;8;1.75;0.83;1;0;4.3;0
73;46;Cuenca;Minorista;1162;78;0;0.0;22.96;70;16;3.16;0.83;0;0;4.3;1
74;48;Quito;Minorista;675;70;5;74.23;12.74;53;9;0.29;0.52;1;0;4.0;0
75;60;Ambato;Minorista;848;69;2;38.29;17.6;29;12;1.54;0.3;0;1;3.3;1
76;64;Ambato;Minorista;1201;110;0;0.0;21.4;81;11;3.88;0.11;0;0;4.2;1
77;18;Manta;Minorista;1270;92;5;159.44;29.58;25;15;1.83;0.27;1;0;4.9;0
78;66;Loja;Minorista;986;112;6;73.42;10.34;47;9;3.33;0.76;0;1;4.5;0
79;42;Loja;Minorista;495;98;13;123.72;9.19;26;5;2.04;1.0;1;0;4.1;0
80;65;Manta;Minorista;856;53;4;81.88;20.29;39;16;4.12;0.36;1;0;5.0;1
81;51;Manta;Mayorista;160;59;14;2224.33;156.48;55;3;0.21;0.66;0;0;4.6;0
82;19;Loja;Minorista;340;23;5;130.97;22.28;13;15;3.97;0.4;0;0;4.2;0
83;33;Guayaquil;Minorista;1493;158;3;74.99;27.91;30;9;0.39;0.11;1;0;4.7;0
84;54;Guayaquil;Mayorista;461;41;0;0.0;74.93;88;9;1.72;0.59;0;2;3.8;1
85;30;Loja;Minorista;255;24;0;0.0;8.99;74;16;1.9;0.83;0;0;4.4;1
86;67;Loja;Minorista;879;121;9;193.68;20.51;32;7;0.19;0.27;0;3;2.6;0
87;57;Ambato;Minorista;1314;169;1;28.67;33.98;79;8;1.74;0.89;0;1;5.0;0
88;20;Quito;Minorista;1093;124;10;354.97;31.72;33;9;3.62;0.87;0;0;4.7;0
89;62;Cuenca;Minorista;1398;177;9;218.39;28.07;5;8;1.5;0.82;1;1;4.3;0
90;57;Quito;Minorista;1276;317;2;58.04;28.55;83;4;2.39;0.63;1;1;4.1;0
91;37;Loja;Minorista;513;44;8;136.89;20.79;17;11;3.67;0.07;1;3;3.1;0
92;24;Quito;Minorista;58;14;3;20.8;8.03;58;9;3.31;0.1;0;0;4.5;0
93;46;Quito;Mayorista;186;16;6;657.15;92.79;47;10;4.07;0.15;1;1;3.9;1
94;18;Guayaquil;Minorista;599;32;2;30.77;13.41;61;18;3.1;0.47;0;1;4.7;1
95;34;Manta;Minorista;1362;117;4;37.54;11.54;50;11;4.09;0.92;0;0;5.0;0
96;37;Loja;Minorista;550;30;0;0.0;25.59;63;18;0.76;0.98;0;0;5.0;1
97;35;Cuenca;Mayorista;1373;171;8;1451.88;163.21;38;8;1.19;0.04;1;1;4.1;0
98;32;Loja;Minorista;621;70;6;111.47;23.11;33;8;2.75;0.09;0;0;3.7;0
